company,added_modified,dollar_amount_float,moneyprize_received,donation_details,year,don_detail_amount,don_detail_txt,dollar_equivalent_amount
DRILLMEX,2013-06-02,500.0,Yes,$500 K4K friend,2013,500.0, k4k friend,500.0
HARDLINE CURLING,2013-08-02,300.0,,"Broom, belt + an ad for $300",2013,300.0,"broom, belt + an ad for ",300.0
LORNE STEINBERG WEALTH MANAGEMENT,2013-02-14,500.0,No,$500 K4K friend,2013,500.0, k4k friend,500.0
P A SUPER MARCHE,2014-02-14,1200.0,Yes,$1200 + $500 in food for RMCC,2013,1200.0, + $500 in food for rmcc,1200.0
SUN WAH,2014-02-14,200.0,Yes,$200 1/4 page ad,2013,200.0, 1/4 page ad,200.0
PHARMAPRIX,2013-10-02,200.0,Yes,$200 1/4 page ad,2013,200.0, 1/4 page ad,200.0
CAISSE DESJARDINS SAINT MATHIAS,2012-02-20,200.0,Yes,$200 1/4 page ad,2013,200.0, 1/4 page ad,200.0
CRISTINI,2012-02-20,300.0,Yes,$300 1/2 page ad,2013,300.0, 1/2 page ad,300.0
BEDARD COUTURE,2013-02-28,100.0,,$100 business card ad,2013,100.0, business card ad,100.0
CITY OF DORVAL,2013-02-28,100.0,Yes,$100 business card,2013,100.0, business card,100.0
COLDWATER,2013-03-01,500.0,Yes,$500 K4K friend,2013,500.0, k4k friend,500.0
TUTINO EDWARDS JOSEPH,2013-03-01,100.0,Yes,business card,2013,,business card,100.0
LUMAR IDEAL II INC,2013-02-13,300.0,Yes,$300 1/2 page ad,2013,300.0, 1/2 page ad,300.0
LES AUTOBUS BEAUREGARD,2013-02-13,100.0,Yes,$100 business card,2013,100.0, business card,100.0
CP,2013-02-02,5000.0,Yes,$5000 Gold sponsor,2013,5000.0, gold sponsor,5000.0
DUFFY S BAR,2013-02-13,405.0,Yes,Tips from celebrity bartending,2013,,tips from celebrity bartending,405.0
KELSON FINANCIAL KILBRANISH,2012-02-24,250.0,Yes,250,2013,,,250.0
FALCON GOLF COURSE,2013-02-19,0.0,,Round of golf for four at the Falcon Golf Course. The value is $350,2013,350.0,round of golf for four at the falcon golf course. the value is ,350.0
COMO GOLF CLUB,2013-03-06,0.0,,"a round of golf for three with a member, worth $160",2013,160.0,"a round of golf for three with a member, worth ",160.0
SCOTTIES TOURNAMENT OF HEARTS,2013-03-07,0.0,,T-shirts and assorted signed items,2013,,t-shirts and assorted signed items,0.0
MARVIN A DRIMER FOUNDATION,2013-03-04,1500.0,yes,Corporate team - minimum of $1500,2013,1500.0,corporate team - minimum of ,1500.0
JAMES DAWSON,2013-03-04,300.0,yes,$300 1/2 page ad,2013,300.0, 1/2 page ad,300.0
OLA,2013-03-06,0.0,,Sorel-Tracy caterer - value of $1000,2013,1000.0,sorel-tracy caterer - value of ,1000.0
EMPIRE,2013-03-06,0.0,,"Gave t-shirts, for silent auction, $150 in clothes just logo",2013,150.0,"gave t-shirts, for silent auction, in clothes just logo",150.0
LOIS JEANS,2013-03-06,0.0,,2 pairs of Black Bull jeans,2013,,2 pairs of black bull jeans,0.0
KETTO,2013-03-06,0.0,,"2 boites de rangement, 2 gourdes",2013,,"2 boites de rangement, 2 gourdes",0.0
PHARMACIE BRUNET,2013-03-06,0.0,,??,2013,,??,0.0
TIM HORTON S,2013-03-06,0.0,,Dejeuner pour 100 personnes,2013,,dejeuner pour 100 personnes,0.0
LIBRAIRIE BUROPRO CITATION,2013-03-06,100.0,yes,$100 donation,2013,100.0, donation,100.0
MELOPEE CROISEE,2013-03-06,0.0,,Spectacle Musicale,2013,,spectacle musicale,0.0
CENTRE SPORTIF DU CEGEP DE SOREL TRACY,2013-03-06,0.0,,4 month membership Kino Gym-Atout,2013,,4 month membership kino gym-atout,0.0
LOCATION FGL,2013-03-06,0.0,yes,Pret de barbecue + gaz propane,2013,,pret de barbecue + gaz propane,0.0
LOGITECK,2013-03-06,0.0,yes,clavier/souris et router sans fil,2013,,clavier/souris et router sans fil,0.0
AVIGNON,2013-03-06,0.0,,4 ensembles cadeau,2013,,4 ensembles cadeau,0.0
LOUP ROUGE,2013-03-06,0.0,,4 x $25 certificat cadeau,2013,25.0,4 x certificat cadeau,25.0
BORN B,2013-03-06,0.0,,2 sacs,2013,,2 sacs,0.0
KABOU,2013-03-06,0.0,,sac a couche,2013,,sac a couche,0.0
CHAUSSURE LA BARRE,2013-03-06,0.0,,certificat $100,2013,100.0,certificat ,100.0
CURLING AURELE RACINE,2013-03-06,0.0,,ice and location rental free,2013,,ice and location rental free,0.0
GOURMANDISES DU ROI,2013-03-06,0.0,yes,4 x $25 certificat cadeau,2013,25.0,4 x certificat cadeau,25.0
SOREL TRACY BAR B Q,2013-03-06,100.0,yes,certificat $100,2013,100.0,certificat ,100.0
METRO PLUS,2013-03-06,0.0,yes,certificat $100,2013,100.0,certificat ,100.0
MAXI,2013-03-06,0.0,,"diner hot-dog, chip, bouteilles pour 150 personnes",2013,,"diner hot-dog, chip, bouteilles pour 150 personnes",0.0
SPORTS EXPERTS,2013-03-06,0.0,,montre valeur $150,2013,150.0,montre valeur ,150.0
CENTRE HI FI,2013-03-06,0.0,,2 cadre numerique,2013,,2 cadre numerique,0.0
LARAMEE ET FILS,2013-03-06,50.0,,Polo $65 + $50 donation,2013,65.0,polo + $50 donation,50.0
L ESPRIT REHABILITATION,2013-03-06,500.0,yes,$500 K4K friend,2013,500.0, k4k friend,500.0
GAB MARTINEAU,2013-03-06,0.0,,Sorel-Tracy photographs,2013,,sorel-tracy photographs,0.0
IGA POIRIER HUDSON,2013-03-06,0.0,,$100 gift certificate but possibly more,2013,100.0, gift certificate but possibly more,100.0
SCOTYZ,2013-03-06,100.0,yes,business card,2013,,business card,100.0
VINS PHILIPPE DANDURAND LTEE,2013-03-06,0.0,,12 bottles of wine,2013,,12 bottles of wine,0.0
BROWN FORMAN CANADA,2013-03-08,0.0,,Jack Daniel Calaway golf bag and other branded items,2013,,jack daniel calaway golf bag and other branded items,0.0
DI VERT SIFIER QUEBEC MARILYN MICHEL,2013-03-09,200.0,yes,1/4 page ad $200,2013,200.0,1/4 page ad ,200.0
VILLE D OTTERBURN PARK,2013-03-09,100.0,yes,business card,2013,,business card,100.0
ERA ENVIRONMENTAL MANAGEMENT SOLUTIONS,2013-02-02,0.0,,13 various winter toys (sleds),2013,,13 various winter toys (sleds),0.0
FMRS,2013-03-09,400.0,yes,$400 sponsorship,2013,400.0, sponsorship,400.0
MACS,2013-03-09,1000.0,,Bronze $1000,2013,1000.0,bronze ,1000.0
DIRECTED ELECTRONICS,2013-03-09,1500.0,Yes,Corporate team - minimum of $1500,2013,1500.0,corporate team - minimum of ,1500.0
MOMENTS PHOTOGRAPHY,2013-03-09,0.0,,Promotional items,2013,,promotional items,0.0
PERFORMANCE BROOMS,2013-03-09,0.0,Yes,curling equipment,2013,,curling equipment,0.0
NAKISA,2013-03-09,0.0,,$1500 sponsorship,2013,1500.0, sponsorship,1500.0
VANDERZON,2013-03-09,0.0,,Nothing confirmed yet,2013,,nothing confirmed yet,0.0
MURIELLE LEBLANC,2013-03-09,0.0,,painting donation,2013,,painting donation,0.0
SLEEMAN UNIBROUE INC,2013-03-09,0.0,,4 cases of specialty beer,2013,,4 cases of specialty beer,0.0
SOUDURE FLF INC,2013-03-09,500.0,Yes,$500 K4K friend,2013,500.0, k4k friend,500.0
ENVIROMARK,2013-03-09,100.0,Yes,$100 business card,2013,100.0, business card,100.0
AVENUE IMMOBILIER HYPOTHEQUE,2013-03-09,200.0,Yes,$200 sponsorship,2013,200.0, sponsorship,200.0
BOVET,2013-03-09,500.0,yes,500,2013,,,500.0
BETTER BODY BOOTCAMP,2013-03-10,0.0,yes,3 $169 gift certificates,2013,169.0,3 gift certificates,169.0
SUPERIOR ALLOY,2013-03-13,500.0,Yes,K4K Friend,2013,,k4k friend,500.0
PEERLESS ALVIN SEGAL FOUNDATION,2013-04-11,200.0,Yes,not sure yet - John to confirm $200 last year,2013,200.0,not sure yet - john to confirm last year,200.0
RESTO BAR DE BEAUHARNOIS,,0.0,,,2013,,,0.0
FRIENDS OF TROUSER LAKE,2013-01-09,1000.0,No,K4K Friend,2014,,k4k friend,1000.0
FONDATION BBB,2013-12-13,5000.0,Yes,Gold,2014,,gold,5000.0
SUNDAY CURLING GANG,2014-02-06,4270.0,Yes,Gold,2014,,gold,4270.0
CP,2014-02-19,1500.0,No,Gold,2014,,gold,1500.0
BMA,2014-02-17,1500.0,Yes,,2014,,,1500.0
SERVICES INTEGRES LEMAY ET ASSOCIES INC,2014-02-04,1000.0,Yes,Bronze,2014,,bronze,1000.0
VILLE DE SOREL TRACY,2014-02-04,1000.0,Yes,Bronze,2014,,bronze,1000.0
FIERA CAPITAL,2014-02-28,1000.0,Yes,Bronze,2014,,bronze,1000.0
GL V,2014-02-06,1000.0,Yes,Bronze,2014,,bronze,1000.0
MCOUAT GROUP,2014-02-07,500.0,Yes,K4K Friend,2014,,k4k friend,500.0
CONSTRUCTION SOREL,2014-03-04,500.0,No,K4K Friend,2014,,k4k friend,500.0
CLUB DE CURLING LACHUTE,2014-03-04,500.0,No,K4K Friend,2014,,k4k friend,500.0
FMRS,2014-02-06,500.0,yes,,2014,,,500.0
SOUDURE FLF INC,2014-02-05,500.0,Yes,K4K Friend,2014,,k4k friend,500.0
LES CONSTRUCTIONS MA GUAY,2014-02-23,500.0,Yes,K4K Friend,2014,,k4k friend,500.0
STANDARD LIFE,2014-03-02,500.0,Yes,,2014,,,500.0
FABRICVILLE,2014-02-19,500.0,Yes,,2014,,,500.0
THISTLE,2014-02-06,500.0,Yes,K4K Friend,2014,,k4k friend,500.0
COLDWATER,2014-03-04,500.0,Yes,K4K Friend,2014,,k4k friend,500.0
LORNE STEINBERG WEALTH MANAGEMENT,2013-02-14,500.0,Yes,K4K Friend,2014,,k4k friend,500.0
DRILLMEX,2014-02-10,500.0,yes,K4K Friend,2014,,k4k friend,500.0
DRILLMEX INC,2014-02-10,500.0,yes,K4K Friend,2014,,k4k friend,500.0
REMAX SYNERGIE,2014-02-28,300.0,Yes,1/2 page ad,2014,,1/2 page ad,300.0
DORMEZ VOUS,2014-02-19,300.0,Yes,,2014,,,300.0
M L FORANDS COURTIERS D ASSURANCE,2014-02-10,300.0,No,Other,2014,,other,300.0
GRANTECH,2014-03-04,200.0,,1/4 page ad,2014,,1/4 page ad,200.0
SUN WAH,2014-02-19,200.0,Yes,1/4 page ad,2014,,1/4 page ad,200.0
AVENUE IMMOBILIER HYPOTHEQUE,2014-03-08,200.0,No,,2014,,,200.0
ALVIN SEGAL FAMILY FOUNDATION,2014-03-04,200.0,Yes,1/4 page ad,2014,,1/4 page ad,200.0
PHARMAPRIX,2014-03-04,200.0,Yes,1/4 page ad,2014,,1/4 page ad,200.0
CAISSE DESJARDINS RICHELIEU SAINT MATHIAS,2014-02-10,200.0,Yes,1/4 page ad,2014,,1/4 page ad,200.0
LES CHAUSSURES LA BARRE,2014-02-11,100.0,Yes,$100 + certificat cadeau + sac à main  -->> 1/4 page ad,2014,100.0, + certificat cadeau + sac à main -->> 1/4 page ad,100.0
SOREL TRACY BAR B Q,2014-02-28,100.0,Yes,business card,2014,,business card,100.0
LOUIS PLAMONDON DEPUTE,2014-02-28,100.0,Yes,business card,2014,,business card,100.0
ELAINE ZAKAIB DEPUTEE,2014-02-28,100.0,No,business card,2014,,business card,100.0
CONWAY JACQUES,2014-02-28,100.0,Yes,business card,2014,,business card,100.0
CLINIQUE DENTAIRE ALLAIRE,2014-02-28,100.0,Yes,business card,2014,,business card,100.0
BOVET,2014-03-04,100.0,Yes,,2014,,,100.0
CITY OF DORVAL,2014-03-04,100.0,Yes,business card,2014,,business card,100.0
TUTINO EDWARDS JOSEPH,2014-02-17,100.0,Yes,business card,2014,,business card,100.0
GUT LABAT CHARTERED ACCOUNTANTS RICHARD GUT,2014-02-06,100.0,Yes,,2014,,,100.0
ALBERT DAVIDSON INDUSTRIES,2014-02-06,100.0,Yes,business card,2014,,business card,100.0
SOURCE ID,2014-03-04,100.0,Yes,business card,2014,,business card,100.0
VILLE D OTTERBURN PARK,2014-02-23,100.0,,business card,2014,,business card,100.0
LES AUTOBUS BEAUREGARD,2013-11-27,100.0,Yes,business card,2014,,business card,100.0
MACONNERIE DESROSIERS,2014-02-28,50.0,Yes,thank you page,2014,,thank you page,50.0
ERA ENVIRONMENTAL MANAGEMENT SOLUTIONS,2014-02-13,50.0,Yes,$50 donation,2014,50.0, donation,50.0
OLA,2014-02-28,0.0,,1/2 page ad,2014,,1/2 page ad,0.0
EMPIRE,2014-02-28,0.0,,1/2 page ad,2014,,1/2 page ad,0.0
LOIS CANADA,2014-02-28,0.0,,1/4 page ad,2014,,1/4 page ad,0.0
PHARMACIE BRUNET,2014-02-28,0.0,,business card,2014,,business card,0.0
TIM HORTON S,2014-02-28,0.0,No,$200 1/4 page ad,2014,200.0, 1/4 page ad,200.0
LIBRAIRIE BUROPRO CITATION,2014-02-17,0.0,No,Thank you page,2014,,thank you page,0.0
MELOPEE CROISEE,2014-02-28,0.0,,1/2 page ad,2014,,1/2 page ad,0.0
CENTRE SPORTIF DU CEGEP DE SOREL TRACY,2014-02-28,0.0,,1/4 page ad,2014,,1/4 page ad,0.0
LOGITECK,2014-02-28,0.0,,business card,2014,,business card,0.0
CURLING AURELE RACINE,2014-02-28,0.0,,1/2 page ad,2014,,1/2 page ad,0.0
METRO PLUS,2014-02-28,0.0,,business card,2014,,business card,0.0
MAXI,2014-02-28,0.0,,,2014,,,0.0
NETTOYAGE MODERNE J ABBOTT INC,2014-02-17,0.0,No,Thank you page,2014,,thank you page,0.0
DEUX GARS DES FLEURS,2014-02-17,0.0,No,Thank you page,2014,,thank you page,0.0
RESTAURANT LE FOUGASSE,2014-02-17,0.0,No,Thank you page,2014,,thank you page,0.0
STATION SERVICE ET DEPANNEUR SHELL,2014-02-17,0.0,No,Thank you page,2014,,thank you page,0.0
CAFE ST THOMAS,2014-02-17,0.0,No,Thank you page,2014,,thank you page,0.0
BOUTIQUE KOKETTE,2014-02-17,0.0,No,Thank you page,2014,,thank you page,0.0
BOUTIQUE CONNIVENCE,2014-02-17,0.0,No,Thank you page,2014,,thank you page,0.0
JEAN MARC LANCTOT,2014-02-17,0.0,No,Thank you page,2014,,thank you page,0.0
MONDE DE GINA,2014-02-28,0.0,,1/2 page ad,2014,,1/2 page ad,0.0
DAN COBOY,2014-02-28,0.0,,1/2 page ad,2014,,1/2 page ad,0.0
IMPRIMERIE MONGEON ET FILS,2014-02-28,0.0,,business card,2014,,business card,0.0
BOULEVARD MUSIQUE,2014-02-28,0.0,,business card,2014,,business card,0.0
LAITERIE CHALIFOUX,2014-02-28,0.0,,business card,2014,,business card,0.0
PEINTURE STYLE,2014-02-28,0.0,,1/4 page ad,2014,,1/4 page ad,0.0
RANDONNEE NATURE,2014-02-28,0.0,,1/4 page ad,2014,,1/4 page ad,0.0
ANTIROUILLE COURNOYER,2014-02-28,0.0,,business card,2014,,business card,0.0
JEAN GUY POIRIER GOLF,2014-02-28,0.0,,1/4 page ad,2014,,1/4 page ad,0.0
SPORTS EXPERTS,2014-02-28,0.0,,business card,2014,,business card,0.0
GOLF CONTINENTAL,2014-02-28,0.0,,1/2 page ad,2014,,1/2 page ad,0.0
ESPACE BEAUTE,2014-02-28,0.0,,1/4 page ad,2014,,1/4 page ad,0.0
COIFFURE CHANTAL LEMOINE,2014-02-28,0.0,,1/4 page ad,2014,,1/4 page ad,0.0
MERCERIE LARAMEE,2014-02-28,0.0,,business card,2014,,business card,0.0
GROUPE NICOLETTI,2014-02-28,0.0,,business card,2014,,business card,0.0
TOP PRIX ELECTRONIQUE,2014-02-28,0.0,,business card,2014,,business card,0.0
MCDONALD S,2014-02-28,0.0,,business card,2014,,business card,0.0
MONSIEUR BEMOL,2014-02-28,0.0,,1/2 page ad,2014,,1/2 page ad,0.0
DEPANNEUR BERNARD,2014-02-28,0.0,,business card,2014,,business card,0.0
FUTURE SHOP,2014-02-28,0.0,,thank you page,2014,,thank you page,0.0
IKEA MONTREAL,2014-02-28,0.0,,business card,2014,,business card,0.0
MARIE LINGERIE,2014-02-28,0.0,,business card,2014,,business card,0.0
CAMILLE BEAUMIER SYLVIANE BEAUREGARD,2014-02-28,0.0,,business card,2014,,business card,0.0
FESTIVAL WESTERN SAINT TITE,2014-03-07,0.0,,,2014,,,0.0
PAULINE GILL,2014-03-07,0.0,,,2014,,,0.0
DECALCO DESIGN,2014-03-07,0.0,,,2014,,,0.0
SONIA MARMEN,2014-03-07,0.0,,,2014,,,0.0
VIANDES V JOYAL,2014-03-07,100.0,,,2014,,,100.0
DUCLOS,2014-03-07,0.0,,,2014,,,0.0
MERCERIE J V VERRIER ET FILS,2014-03-08,0.0,,,2014,,,0.0
DARE,2014-03-08,0.0,,,2014,,,0.0
MULTIFORME PLUS,2014-03-04,0.0,,1/2 page ad,2014,,1/2 page ad,0.0
GAB MARTINEAU,2014-02-28,0.0,,1/2 page ad,2014,,1/2 page ad,0.0
PRANA,2014-03-01,0.0,,1/4 page ad,2014,,1/4 page ad,0.0
VAL MONT ST BRUNO MAD SCIENCE KARIM KEZILA TIM HORTONS ST BRUNO CHOCOLATERIE HEYEZ MAPLE LEAF FOODS GILLES BOURBEAU SYSCO FOODS JEAN SEBASTIEN TARTE TRANS HERBE LASSONDE PAULE DAIGLE,2014-03-04,0.0,,,2014,,,0.0
HOTEL LE CRYSTAL,2014-03-01,0.0,Yes,Other,2014,,other,0.0
MURIELLE LEBLANC,2014-03-08,0.0,,,2014,,,0.0
ROYAL ENVELOPE,2014-03-04,0.0,,1/2 page ad,2014,,1/2 page ad,0.0
PERFORMANCE BROOMS,2014-02-11,0.0,No,,2014,,,0.0
BETTER BODY BOOTCAMP,2014-03-04,0.0,,,2014,,,0.0
RESTO BAR DE BEAUHARNOIS,2014-03-04,0.0,,,2014,,,0.0
PRIMI PIATTIA,2014-02-19,0.0,,,2014,,,0.0
AU VIEUX DULUTH,2014-03-07,0.0,,,2014,,,0.0
WINDSOR HYPER BAR AND GRILL,2014-03-07,0.0,,,2014,,,0.0
BATON ROUGE CANDIAC,2014-03-07,0.0,,,2014,,,0.0
NANCY BROUILLARD,2014-03-04,0.0,,,2014,,,0.0
HOGLINE CURLERS PROSHOP,2014-02-19,0.0,N,Other,2014,,other,0.0
FALCON GOLF COURSE,2014-02-19,0.0,No,1/2 page ad,2014,,1/2 page ad,0.0
COMO GOLF CLUB,2014-03-03,0.0,,1/6 page ad,2014,,1/6 page ad,0.0
IGA POIRIER HUDSON,2014-03-04,0.0,,1/6 page ad,2014,,1/6 page ad,0.0
LEY RUITER FAMILY,2014-03-04,0.0,,,2014,,,0.0
LABORATOIRES CHARLES RIVER,2014-03-04,250.0,Yes,,2014,,,250.0
SAUTE MOUTON,2014-01-26,0.0,No,,2014,,,0.0
AUBRY,2013-01-09,0.0,,K4K Friend,2014,,k4k friend,0.0
VIA,2014-03-04,0.0,Yes,Silver,2014,,silver,0.0
BROWN FORMAN CANADA,2014-03-05,0.0,,whatever size fits - add the Brown Forman logo 1/4 horizontal,2014,,whatever size fits - add the brown forman logo 1/4 horizontal,0.0
SLEEMAN UNIBROUE INC,2014-03-04,0.0,,,2014,,,0.0
DELTA,2013-11-25,0.0,No,Silver,2014,,silver,0.0
AIR FRANCE,2013-11-25,0.0,No,Silver,2014,,silver,0.0
WESTJET,2013-03-12,0.0,Carl,Silver,2014,,silver,0.0
BDO,2014-02-19,0.0,,Gold,2014,,gold,0.0
HARDLINE CURLING,2014-02-12,0.0,No,$300 1/2 page ad,2014,300.0, 1/2 page ad,300.0
ICEJERSEYS COM,2014-02-04,0.0,No,,2014,,,0.0
MONTREAL CANADIENS,2014-03-04,0.0,,,2014,,,0.0
BMR OSTIGUY FRERES,2013-01-27,0.0,Yes,Other,2014,,other,0.0
HUDSON WHITLOCK GOLF CLUB,2014-02-06,100.0,Yes,1/2 page ad,2014,,1/2 page ad,100.0
LABATTS,2014-03-08,0.0,,,2014,,,0.0
HAIVISION,2014-03-14,300.0,Yes - done online,,2014,,,300.0
DELTA,2014-03-18,200.0,,,2014,,,200.0
SUPERIOR ALLOY,2014-03-18,500.0,Yes,,2014,,,500.0
KRUGER,2014-03-18,100.0,Yes,,2014,,,100.0
THISTLE,2013-12-08,500.0,Yes,K4K Friend,2014,,k4k friend,500.0
MARTELLINO COUVRE PLANCHERS INC,2014-06-15,100.0,cheque made out o MCHF - sent it to them,,2014,,,100.0
ERNEST,2014-06-15,500.0,Yes,,2014,,,500.0
DELTA,2014-10-06,0.0,No,"1 pair of tickets to Europe valid on AF, KL, or DL",2015,,"1 pair of tickets to europe valid on af, kl, or dl",0.0
AIR FRANCE,2014-10-06,0.0,No,"1 pair of tickets to Europe valid on AF, KL, or DL",2015,,"1 pair of tickets to europe valid on af, kl, or dl",0.0
WESTJET,2014-10-06,0.0,Yes,Roundtrip for two to any WestJet destination,2015,,roundtrip for two to any westjet destination,0.0
SUNDAY CURLING GANG,,4322.0,Yes,Donation of funds from golf tourney,2015,,donation of funds from golf tourney,4322.0
SUN LIFE FINANCIAL,2014-11-10,500.0,Yes,$500 donation,2015,500.0, donation,500.0
ASSOCIATION DES ARBITRAGES INST DE MONTREAL,2014-11-10,1000.0,Yes,$1000 donation,2015,1000.0, donation,1000.0
CN RAILROADERS IN THE COMMUNITY,2014-11-14,250.0,Yes,$250 Grant for John's volunteer work,2015,250.0, grant for john's volunteer work,250.0
CN,2014-11-14,250.0,Yes,$250 Grant for John's volunteer work,2015,250.0, grant for john's volunteer work,250.0
FONDATION BBB,2014-11-21,5000.0,Yes,$5000 donation,2015,5000.0, donation,5000.0
REMBOURRAGE INTER PROVINCIAL,2015-01-21,100.0,Yes,business card ad,2015,,business card ad,100.0
J R LEVAGE INC,2015-01-25,200.0,Yes,$200 1/4 page ad,2015,200.0, 1/4 page ad,200.0
THISTLE,2015-01-25,500.0,Yes,confirmed k4k friend,2015,,confirmed k4k friend,500.0
HARDLINE CURLING,2015-01-25,0.0,,Donated 55 ice pad covers which they will sell at $20 each,2015,20.0,donated 55 ice pad covers which they will sell at each,20.0
FMRS,2015-01-25,500.0,Yes,$500 donation,2015,500.0, donation,500.0
CENTURY,2015-01-25,100.0,Yes,business card ad,2015,,business card ad,100.0
LORNE STEINBERG WEALTH MANAGEMENT,2015-04-02,1000.0,Yes,$1000 donation,2015,1000.0, donation,1000.0
VIA,2014-12-31,0.0,Yes,Raffle prize - full page ad,2015,,raffle prize - full page ad,0.0
GLOBAL EXCEL,2015-04-02,200.0,Yes,$200 1/4 page ad,2015,200.0, 1/4 page ad,200.0
SOREL TRACY BAR B Q,2015-04-02,100.0,Yes,business card ad,2015,,business card ad,100.0
LES CHAUSSURES LA BARRE,2015-04-02,200.0,Yes,$200 1/4 page ad,2015,200.0, 1/4 page ad,200.0
IMPRIMERIE MARION INC,2015-09-02,1200.0,Yes,$1200 donation,2015,1200.0, donation,1200.0
FABRICVILLE,2015-02-10,500.0,Yes,confirmed k4k friend,2015,,confirmed k4k friend,500.0
MARVIN A DRIMER FOUNDATION,2015-02-13,2660.0,Yes,Corporate team,2015,,corporate team,2660.0
BMA,2015-02-13,1500.0,Yes,Corporate team,2015,,corporate team,1500.0
CLINIQUE CHIROPRATIQUE LABARRE,2015-02-14,0.0,Yes,2 Orthopedic pillows for MBCC,2015,,2 orthopedic pillows for mbcc,0.0
BDO,2014-02-19,0.0,,reduced accounting fees,2015,,reduced accounting fees,0.0
PROMAX COMBUSTION INC,2015-02-12,1500.0,Yes,Corporate team,2015,,corporate team,1500.0
WESTDENT,2015-02-16,100.0,No,business card ad,2015,,business card ad,100.0
BMR OSTIGUY FRERES,2014-11-11,0.0,Yes,Raffle prize - 1/4 page ad,2015,,raffle prize - 1/4 page ad,0.0
DRILLMEX,2015-02-16,500.0,Yes,$500 donation,2015,500.0, donation,500.0
DRILLMEX INC,2015-02-16,500.0,Yes,$500 donation,2015,500.0, donation,500.0
M L FORANDS COURTIERS D ASSURANCE,2015-02-20,300.0,Yes,$300 1/2 page ad,2015,300.0, 1/2 page ad,300.0
VILLE D OTTERBURN PARK,2015-02-20,100.0,Yes,business card ad,2015,,business card ad,100.0
LES AUTOBUS BEAUREGARD,2015-02-20,100.0,Yes,business card ad,2015,,business card ad,100.0
PVH,2015-02-20,6098.0,Yes,$5000 donation,2015,5000.0, donation,6098.0
LEA RIVIERE,2015-02-20,0.0,Yes,Raffle prize - painting,2015,,raffle prize - painting,0.0
SAUTE MOUTON,2015-02-20,0.0,Yes,2 gc for bonus draw ($218 x 2 value),2015,218.0,2 gc for bonus draw ( x 2 value),218.0
DR ANNE WEARY INC,2015-02-20,200.0,Yes,$200 1/4 page ad,2015,200.0, 1/4 page ad,200.0
CAISSE DESJARDINS RICHELIEU SAINT MATHIAS,2015-02-20,200.0,Yes,$200 1/4 page ad,2015,200.0, 1/4 page ad,200.0
MOMENTUM FLIGHT HUB,2015-02-22,500.0,Yes,$500 donation,2015,500.0, donation,500.0
EQUIPEMENT TWIN,2015-02-20,500.0,Yes,$500 donation,2015,500.0, donation,500.0
ERNEST,2015-02-20,300.0,Yes,$300 1/2 page ad,2015,300.0, 1/2 page ad,300.0
FRIENDS OF TROUSER LAKE,2015-02-20,300.0,Yes,$300 1/2 page ad,2015,300.0, 1/2 page ad,300.0
NETTOYAGE MODERNE J ABBOTT INC,2015-02-20,0.0,,This is an ad owed as we did not put in one last year when we should have,2015,,this is an ad owed as we did not put in one last year when we should have,0.0
CLINIQUE DENTAIRE ALLAIRE,2015-02-20,100.0,Yes,business card ad,2015,,business card ad,100.0
LOUIS PLAMONDON DEPUTE,2015-02-20,100.0,Yes,business card,2015,,business card,100.0
STANDARD LIFE,2015-02-20,950.0,Yes,no ad - just making a donation,2015,,no ad - just making a donation,950.0
MCOUAT GROUP,2015-02-20,500.0,Yes,$500 donation,2015,500.0, donation,500.0
PHARMAPRIX,2015-02-26,200.0,Yes,$200 1/4 page ad,2015,200.0, 1/4 page ad,200.0
SOUDURE FLF INC,2015-02-26,500.0,Yes,$500 donation,2015,500.0, donation,500.0
SUN WAH,2015-02-26,200.0,Yes,$200 1/4 page ad,2015,200.0, 1/4 page ad,200.0
SOREL TRACY PORTE PAROLE,2015-02-26,0.0,,ad in exchange for spokesperson duties,2015,,ad in exchange for spokesperson duties,0.0
PRANA,2015-02-27,0.0,Yes,12 gift baskets,2015,,12 gift baskets,0.0
CHOCOLAT BELGE HEYEZ,2015-02-27,900.0,Yes,$200 Basket of chocolates for K4K auction which raised $800,2015,200.0, basket of chocolates for k4k auction which raised $800,900.0
LES CAFES SECOND CUP,2015-02-27,0.0,Yes,$100 worth of coffee for MBCC,2015,100.0, worth of coffee for mbcc,100.0
MAD SCIENCE,2015-02-27,0.0,Yes,Bday gift certificate and show at MBCC,2015,,bday gift certificate and show at mbcc,0.0
SERVICES INTEGRES LEMAY ET ASSOCIES INC,2015-02-27,500.0,Yes,$500 donation,2015,500.0, donation,500.0
GRANTECH,2015-02-27,0.0,Yes,Silver but only want a quarter page ad,2015,,silver but only want a quarter page ad,0.0
SPA SINGLE PARENTS ASSOCIATION,2015-03-01,100.0,No,business card,2015,,business card,100.0
ENVIROMARK,2015-03-03,100.0,Yes,business card,2015,,business card,100.0
VILLE DE SOREL TRACY,2015-03-03,1000.0,Yes,$1000 donation,2015,1000.0, donation,1000.0
VERTDURE V EXTERMINATION,2015-03-03,200.0,Yes,$200 1/4 page ad,2015,200.0, 1/4 page ad,200.0
TEXTILES RAYMOND PARENT INC,2015-04-03,100.0,Yes,business card,2015,,business card,100.0
