company,added_modified,dollar_amount_float,moneyprize_received,donation_details,year,don_detail_amount,don_detail_txt,dollar_equivalent_amount
CINEMA GUZZO,2010-02-10,0.0,,thank you sponsor for door prizes,2010,,thank you sponsor for door prizes,0.0
BAREFOOT WINE,2010-02-10,0.0,,thank you sponsor for door prizes,2010,,thank you sponsor for door prizes,0.0
ERNEST,2010-02-10,0.0,500,Jean-Marc Lanctot,2010,,jean-marc lanctot,0.0
BOVET,2010-02-10,500.0,Yes,Silver,2010,,silver,500.0
ENVIROMARK,2010-02-10,100.0,Yes,$100 business card,2010,100.0, business card,100.0
PEERLESS ALVIN SEGAL FOUNDATION,2010-02-10,200.0,no,$200 1/4 page ad,2010,200.0, 1/4 page ad,200.0
TROPHEE POINTE CLAIRE,2010-02-10,0.0,,trophies,2010,,trophies,0.0
OUESTDENT,2010-02-10,100.0,Yes,$100 business card,2010,100.0, business card,100.0
SIGNOR TERRY,2010-02-10,500.0,Yes,Silver,2010,,silver,500.0
SECOND CUP ST HUBERT,2010-03-10,200.0,Yes,$200 1/4 page ad plus coffee for clubs,2010,200.0, 1/4 page ad plus coffee for clubs,200.0
L ETOILE DE ST HILAIRE,2010-03-10,100.0,Yes,business card,2010,,business card,100.0
NAKISA,2010-03-10,500.0,Yes,$500 silver ad,2010,500.0, silver ad,500.0
VILLE D OTTERBURN PARK,2010-03-10,100.0,Yes - Tom has it,100,2010,,,100.0
METAFORE,2010-03-10,200.0,Yes,100,2010,,,200.0
CORBEC,,21000.0,Yes,Platinum,2010,,platinum,21000.0
FRANCIS SCARPALEGGIA,,100.0,Yes,100,2010,,,100.0
CITY OF SENNEVILLE,,140.0,Yes,140,2010,,,140.0
WESTJET,2010-12-30,0.0,Yes,All inclusive trip,2011,,all inclusive trip,0.0
VIA,2011-01-01,0.0,Yes,trip for 4 Montreal/Windsor $2600 value,2011,2600.0,trip for 4 montreal/windsor value,2600.0
DELTA,,0.0,Yes,$1000 E-certificate - received by email,2011,1000.0, e-certificate - received by email,1000.0
FONDATION BBB,2010-12-30,5000.0,Yes,Platinum,2011,,platinum,5000.0
MACS,2011-01-05,500.0,Yes,tbd,2011,,tbd,500.0
EPICOR,2011-01-05,5000.0,Yes,tbd,2011,,tbd,5000.0
